country,iso3,region,year,tempRiseC,annualMeanTempC,seaRiseCm,tempSource,seaSource
South Korea,KOR,Asia,1993,0.5,11.27,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Korea,KOR,Asia,2000,1.3,12.07,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Korea,KOR,Asia,2010,1.21,11.98,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Korea,KOR,Asia,2020,1.86,12.63,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
South Korea,KOR,Asia,2022,1.99,12.76,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Japan,JPN,Asia,1993,0.61,10.88,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Japan,JPN,Asia,2000,1.48,11.75,2.4,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Japan,JPN,Asia,2010,1.87,12.14,5.09,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Japan,JPN,Asia,2020,2.14,12.41,8.45,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
Japan,JPN,Asia,2022,2.15,12.42,9.35,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
China,CHN,Asia,1993,0.26,6.89,0,World Bank CCKP CRU TS 4.07 annual mean temperature; anomaly vs 1901-1930 country baseline,World Bank CCKP sea level API / NASA global mean sea level; rise vs 1993
